Span Loc(m)	Chord(m)	IB Height(m)	IB Width(m)	Web Height(m)	Web Width(m)	IB Area(m2)	Moment(Nm)	Wing Weight(N/m)
1.796000	0.485296	0.036397	0.064544	0.030925	0.001000	0.000384	366.144597	19.273372
1.798000	0.485215	0.036391	0.064534	0.030927	0.001000	0.000384	365.592148	19.257130
1.800000	0.485135	0.036385	0.064523	0.030928	0.001000	0.000383	365.040174	19.240903
1.802000	0.485055	0.036379	0.064512	0.030930	0.001000	0.000382	364.488675	19.224691
1.804000	0.484974	0.036373	0.064502	0.030931	0.001000	0.000382	363.937651	19.208493
1.806000	0.484894	0.036367	0.064491	0.030933	0.001000	0.000381	363.387102	19.192310
1.808000	0.484813	0.036361	0.064480	0.030935	0.001000	0.000381	362.837028	19.176142
1.810000	0.484733	0.036355	0.064469	0.030936	0.001000	0.000380	362.287429	19.159989
1.812000	0.484652	0.036349	0.064459	0.030938	0.001000	0.000380	361.738305	19.143850
1.814000	0.484571	0.036343	0.064448	0.030939	0.001000	0.000379	361.189655	19.127726
1.816000	0.484490	0.036337	0.064437	0.030941	0.001000	0.000379	360.641480	19.111617
1.818000	0.484409	0.036331	0.064426	0.030942	0.001000	0.000378	360.093780	19.095522
1.820000	0.484327	0.036325	0.064416	0.030944	0.001000	0.000378	359.546553	19.079442
1.822000	0.484246	0.036318	0.064405	0.030945	0.001000	0.000377	358.999802	19.063377
1.824000	0.484165	0.036312	0.064394	0.030947	0.001000	0.000376	358.453524	19.047326
1.826000	0.484083	0.036306	0.064383	0.030948	0.001000	0.000376	357.907721	19.031290
1.828000	0.484001	0.036300	0.064372	0.030950	0.001000	0.000375	357.362392	19.015268
1.830000	0.483920	0.036294	0.064361	0.030951	0.001000	0.000375	356.817537	18.999261
1.832000	0.483838	0.036288	0.064350	0.030952	0.001000	0.000374	356.273155	18.983269
1.834000	0.483756	0.036282	0.064340	0.030954	0.001000	0.000374	355.729248	18.967290
1.836000	0.483674	0.036276	0.064329	0.030955	0.001000	0.000373	355.185815	18.951327
1.838000	0.483592	0.036269	0.064318	0.030956	0.001000	0.000373	354.642855	18.935377
